Id,Status,Situation,Criteria,Justification,Title,Abstract,Main Topic,Method,Authors,Venue,Year,Venue Type,DOI,Link,Downloaded,Keywords
S82,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,An experience report on detecting and repairing software architecture erosion,"Architecture erosion constitutes the most visible effect of the degradation of design. It is a major reason to address the design debt, often caused by architectural mismatch problems. Today, the identification of design erosion is a major concern for designers and software maintainers. Adequate tools are necessary to identify and repair the debt. This paper describes our experience on identifying architectural erosion problems on existing open source software applications through the support of two well known tools. Moreover, we outline if the tools provide useful hints in repairing some of the detected problems. © 2016 IEEE.",TD Symptoms/Consequences,Tool,"Fontana, F.A. and Roveda, R. and Zanoni, M. and Raibulet, C. and Capilla, R.","Proceedings - 2016 13th Working IEEE/IFIP Conference on Software Architecture, WICSA 2016","2,016.00",Conference Paper,10.1109/WICSA.2016.37,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983320450&doi=10.1109%2fWICSA.2016.37&partnerID=40&md5=46a6d5e499d089006b06ed2568cc31b9,No,
S76,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Tool support for evaluating architectural debt of an existing system: An experience report,"During software development, maintenance and evolution, we can assess the quality of code, design and architecture to capture hints of possible problems and face them as soon as possible. We can capture signals of architecture erosion in different ways by exploiting several tools with the aim to identify architectural violations, architectural smells or other relevant features. In this paper, we provide our experience report in using three known tools to capture information that can be useful to identify and evaluate the architectural debt of an application. We outline the main differences among these tools and the results they produce. © 2016 ACM.",Technical Debt,Tool,"Fontana, F.A. and Roveda, R. and Zanoni, M.",Proceedings of the ACM Symposium on Applied Computing,"2,016.00",Conference Paper,10.1145/2851613.2851963,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975824272&doi=10.1145%2f2851613.2851963&partnerID=40&md5=7b63365315c9596f33d6e670e3ffcf93,No,Architectural debt;  Architecture assessment;  Tool experimentation
S85,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Technical debt reduction using search based automated refactoring,"Software refactoring has been recognized as a valuable process during software development and is often aimed at repaying technical debt. Technical debt arises when a software product has been built or amended without full care for structure and extensibility. Refactoring is useful to keep technical debt low and if it can be automated there are obvious efficiency benefits. Using a combination of automated refactoring techniques, software metrics and metaheuristic searches, an automated refactoring tool can improve the structure of a software system without affecting its functionality. In this paper, four different refactoring approaches are compared using an automated software refactoring tool. Weighted sums of metrics are used to form different fitness functions that drive the search process towards certain aspects of software quality. Metrics are combined to measure coupling, abstraction and inheritance and a fourth fitness function is proposed to measure reduction in technical debt. The 4 functions are compared against each other using 3 different searches on 6 different open source programs. Four out of the 6 programs show a larger improvement in the technical debt function after the search based refactoring process. The results show that the technical debt function is useful for assessing improvement in quality. © 2016 Elsevier Inc.",Technical Debt,Tool,"Mohan, M. and Greer, D. and McMullan, P.",Journal of Systems and Software,"2,016.00",Article,10.1016/j.jss.2016.05.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969523698&doi=10.1016%2fj.jss.2016.05.019&partnerID=40&md5=07eba65643d86978f95d37848a0257a0,No,Automated refactoring;  Refactoring tools;  Search based software engineering;  Simulated annealing;  Software metrics;  Technical debt
S88,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Technical Debt Indexes Provided by Tools: A Preliminary Discussion,"In software maintenance and evolution, it is important to assess both code and architecture in order to identify issues to be solved to improve software quality. Different tools provide some kind of index giving us an overall evaluation of a project to be used when managing its technical debt. In this paper, we outline how the indexes, that we call in general Technical Debt Indexes, provided by five different tools are computed. We describe their principal features and differences, what aspects they are missing, and we outline if (and how) the indexes take into account architectural problems that could have a major impact on the architectural debt. We show that the indexes rely on different information sources and measure different quantities. © 2016 IEEE.",Technical Debt,Tool,"Fontana, F.A. and Roveda, R. and Zanoni, M.","Proceedings - 2016 IEEE 8th International Workshop on Managing Technical Debt, MTD 2016","2,016.00",Conference Paper,10.1109/MTD.2016.11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010711619&doi=10.1109%2fMTD.2016.11&partnerID=40&md5=81015e08d5566c37bcc3a7fd0dc6d3ab,No,Architectural Debt;  Software Quality Analysis Tools;  Technical Debt Indexes
S67,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Pragmatic approach for managing technical debt in legacy software project,"Tackling the issues of technical debt in a large system in parallel with continuing to enable it to evolve is a challenging problem. In this paper, we are describing a case study of managing technical debt on a legacy project referred here as Global Configurator Project (GCP) using pragmatic approach. The paper presents holistic lifecycle approach with four stages and various practices in each stage for managing technical debt. Given life cycle approach and practices will be useful for any software project. In particular, these practices will be significant to any legacy project towards repaying debt. These methods can also be applied to continuously improve code quality and product quality. This paper also focus on technical debt user stories to gain business buy-in and share few 'best in market' tools that we used in repaying technical debt. It also focuses on sensitizing developers to the concept of debt and improving their skills. This paper describes the process used by a separate team formed to reduce technical debt in a large legacy system. The paper targets to the Project Managers, Test Managers architects and Scrum Masters in agile software development. © 2016 ACM.",Technical Debt,Theoretical Artifact,"Gupta, R.K. and Manikreddy, P. and Naik, S. and Arya, K.",ACM International Conference Proceeding Series,"2,016.00",Conference Paper,10.1145/2856636.2856655,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976633741&doi=10.1145%2f2856636.2856655&partnerID=40&md5=f3a0f1ddeebc44e1ba6644a2b11f1ded,No,Code quality;  Lifecycle approach;  Pragmatic;  Product quality;  Static analysis;  Technical debt
S59,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Technical debt prioritization using predictive analytics,"Recently, Technical Debt (TD) has gained popularity in the Software Engineering community to describe design decisions that allow software development teams to achieve short term benefits such as expedited release of code. Technical debt accrued should be managed to avoid the disastrous consequences of these temporary workarounds. Management of technical debt involve documenting the debt item in the backlog including some type of quantification in terms of person-hours or story points for example. Subsequently, the debt items are prioritized and addressed. Developers or project managers face problems to decide which debt is higher priority or more ""problematic"" and which one needs to be addressed first. This decision-making process is not standardized and is currently context dependent in most organizations. This paper bridge this gap by proposing a framework which makes use of a plethora of techniques ranging from data mining to prediction and decision models that project managers can use in their decision-making process to determine which technical debt is more critical and should be addressed first. © 2016 Authors.",Technical Debt,Theoretical Artifact,"Codabux, Z. and Williams, B.J.",Proceedings - International Conference on Software Engineering,"2,016.00",Conference Paper,10.1145/2889160.2892643,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026644004&doi=10.1145%2f2889160.2892643&partnerID=40&md5=04f55ee0c4942646e573cec7da631394,No,Decision-making;  Prediction model;  Technical debt
S102,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Does your configuration code smell?,"Infrastructure as Code (IaC) is the practice of specifying computing system configurations through code, and managing them through traditional software engineering methods. The wide adoption of configuration management and increasing size and complexity of the associated code, prompt for assessing, maintaining, and improving the configuration code's quality. In this context, traditional software engineering knowledge and best practices associated with code quality management can be leveraged to assess and manage configuration code quality. We propose a catalog of 13 implementation and 11 design configuration smells, where each smell violates recommended best practices for configuration code. We analyzed 4,621 Puppet repositories containing 8.9 million lines of code and detected the cataloged implementation and design configuration smells. Our analysis reveals that the design configuration smells show 9% higher average co-occurrence among themselves than the implementation configuration smells. We also observed that configuration smells belonging to a smell category tend to co-occur with configuration smells belonging to another smell category when correlation is computed by volume of identified smells. Finally, design configuration smell density shows negative correlation whereas implementation configuration smell density exhibits no correlation with the size of a configuration management system. © 2016 ACM.",Smells,MSR Studies,"Sharma, T. and Fragkoulis, M. and Spinellis, D.","Proceedings - 13th Working Conference on Mining Software Repositories, MSR 2016","2,016.00",Conference Paper,10.1145/2901739.2901761,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974602546&doi=10.1145%2f2901739.2901761&partnerID=40&md5=36515addaf62a0f66d66b793919a0207,No,Code quality;  Configuration smells;  Infrastructure as Code;  Maintainability;  Technical debt
S71,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,"Minimizing refactoring effort through prioritization of classes based on historical, architectural and code smell information","Improving a software system's internal structure through regular refactoring is considered vital for its long and healthy life. However, despite its amenities, refactoring is not readily adopted by software development teams in industry mainly due to strict project deadlines and limited resources. Hence, they look for optimal refactoring recommendations that would incur minimal effort overhead while outputting decent benefits in terms of enhanced software quality. To this end, we propose an approach for identifying and prioritizing object-oriented software classes in need of refactoring. Our approach first identifies the most refactoring-prone as well as architecturally relevant classes, and then generates class ranks based on the code smell information. In addition to locating classes with the most significant incremental refactoring opportunities, this work contributes through suggesting developers on estimating maximum code smell correction (paying off maximum technical debt) with minimum refactoring effort. We evaluated the proposed approach on a sample of 1621 classes and 2358 code smell instances, distributed over 28 versions of four open source java systems. © 2016, CEUR-WS. All rights reserved.",Smells,Case Study,"Choudhary, A. and Singh, P.",CEUR Workshop Proceedings,"2,016.00",Conference Paper,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009466009&partnerID=40&md5=696c7c304db407e66bf56b8784f350e8,No,Class prioritization;  Code smell;  Refactoring effort;  Software refactoring;  Technical debt
S56,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Technical debt in MDE: A case study on GMF/EMF-based projects,"Technical Debt (TD) is a metaphor referring to immature software artifacts that can hurt the long-term maintenance of a system. Model-Driven Engineering (MDE) is a modelcentric software development approach, which promises better maintainability. However, there is a lack of empirical evidence on the existence and influence of TD in the context of MDE. This paper investigates the code-level TD in MDE projects, which is incurred during code generation. We evaluated 16 open-source and non-trivial GMF/EMF-based MDE projects using bad smells, which are widely-accepted TD indicators. The results demonstrate that MDE is not TD-free, and code generators also incur TD, similarly to developers. In fact, the generated code usually contains more TD than handwritten code, which influences significantly the maintenance of MDE projects. © 2016 ACM.",Technical Debt,MSR Studies,"He, X. and Avgeriou, P. and Liang, P. and Li, Z.","Proceedings - 19th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS 2016","2,016.00",Conference Paper,10.1145/2976767.2976806,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008477494&doi=10.1145%2f2976767.2976806&partnerID=40&md5=a8e3ed39c28fe64d6c9d1e6f7e922d4a,No,
S57,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,How do software development teams manage technical debt? – An empirical study,"Technical debt (TD) is a metaphor for taking shortcuts or workarounds in technical decisions to gain short-term benefit in time-to-market and earlier software release. In this study, one large software development organization is investigated to gather empirical evidence related to the concept of technical debt management (TDM). We used the exploratory case study method to collect and analyze empirical data in the case organization by interviewing a total of 25 persons in eight software development teams. We were able to identify teams where the current strategy for TDM was only to fix TD when necessary, when it started to cause too much trouble for development. We also identified teams where the management had a systematic strategy to identify, measure and monitor TD during the development process. It seems that TDM can be associated with a similar maturity concept as software development in general. Development teams may raise their maturity by increasing their awareness and applying more advanced processes, techniques and tools in TDM. TDM is an essential part of sustainable software development, and companies have to find right approaches to deal with TD to produce healthy software that can be developed and maintained in the future. © 2016 The Authors",Technical Debt,Interview,"Yli-Huumo, J. and Maglyas, A. and Smolander, K.",Journal of Systems and Software,"2,016.00",Article,10.1016/j.jss.2016.05.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969206783&doi=10.1016%2fj.jss.2016.05.018&partnerID=40&md5=ddad6957a54013c53c4bb80ba5c89d7b,No,Exploratory case study;  Technical debt;  Technical debt management
S129,Read,Rejected,[EC2] - The study shows a theoretical artifact or do not provide a link to the artifact's repository;,"After reading the paper, it does not use or explain how to use the tools. Moreover, it does not provide a link to the proposed tool.",An open tool for assisting in technical debt management,"Technical debt monitoring is one of the activities that have to be performed in technical debt management. To do that, there are different techniques that can be used to estimate technical debt and different tools that implement those different techniques. This paper presents TEDMA Tool, a tool for monitoring technical debt over the software evolution and that it is open to integrate third party tools. TEDMA is based on the analysis of source code repositories and is useful for researching using empirical data extracted from software projects. Currently, it is been used to analyze big projects in the execution of several case studies. The expected evolution of TEDMA will make the tool useful for software development industry. © 2017 IEEE.",Technical Debt,Tool,"Fernandez-Sanchez, C. and Humanes, H. and Garbajosa, J. and Diaz, J.","Proceedings - 43rd Euromicro Conference on Software Engineering and Advanced Applications, SEAA 2017",2017,Conference Paper,10.1109/SEAA.2017.60,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034425200&doi=10.1109%2fSEAA.2017.60&partnerID=40&md5=a6b083d770b2e260cf2ec2664624369d,No,Git;  Neo4j;  Technical debt;  Technical debt management;  Tool
S125,Read,Accepted,[IC1] - The primary study presents or points to a software artifact that automates a task within at least one TD management activity.,,Towards triaging code-smell candidates via runtime scenarios and method-call dependencies,"Managing technical debt includes the detection and assessment of debt at the code and design levels (such as bad smells). Existing approaches and tools for smell detection primarily use static program data for decision support. While a static analysis allows for identifying smell candidates without executing and instrumenting the system, such approaches also come with the risk of missing candidates or of producing false positives. Moreover, smell candidates might result from a deliberate design decision (e.g., of applying a particular design pattern). Such risks and the general ambivalence of smell detection require a manual design and/or code inspection for reviewing all alleged smells. In this paper, we propose an approach to obtain tailorable design documentation for object-oriented systems based on runtime tests. In particular, the approach supports a tool-supported triaging of code-smell candidates. We use runtime scenario tests to extract execution traces. Based on these execution traces, different (automatically derived) model perspectives on method-call dependencies (e.g., dependency structure matrices, DSMs; UML2 sequence diagrams) are then used as decision support for assessing smell candidates. Our approach is implemented as part of the KaleidoScope tool which is publicly available for download. © 2017 Copyright held by the owner/author(s). Publication rights licensed to Association for Computing Machinery.",Smells,Tool,"Haendler, T. and Sobernig, S. and Strembeck, M.",ACM International Conference Proceeding Series,"2,017.00",Conference Paper,10.1145/3120459.3120468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029862351&doi=10.1145%2f3120459.3120468&partnerID=40&md5=d96e772b15a135e054ebd4839ede7b3c,No,Code smell;  Decision support;  Dependency structure matrix;  Design documentation;  Execution trace;  Scenario-based testing;  Software behavior;  Technical debt;  Unified modeling language (UML2)
