,id,title,abstract,study-type,author,author_type,year,venue,venue_type,link,reference,objective,artifacts
10,S11,The SQALE Method for Evaluating Technical Debt,This paper presents the SQALE (Software Quality Assessment Based on Lifecycle Expectations) method. We describe its Quality Model and Analysis Model which is Used to estimate the Quality and the Technical Debt of an application source code. We provide recommendations and guidelines for using the SQALE indicators in order to analyse the structure and the impact of the Technical Debt.,Propose,Jean-Louis Letouzey,Industry,"2,012.00",International Workshop on Managing Technical Debt,Workshop,https://dl.acm.org/doi/10.5555/2666036.2666042,"@inproceedings{,
author = {Letouzey, Jean-Louis},
title = {The SQALE Method for Evaluating Technical Debt},
year = {2012},
isbn = {9781467317498},
publisher = {IEEE Press},
abstract = {This paper presents the SQALE (Software Quality Assessment Based on Lifecycle Expectations) method. We describe its Quality Model and Analysis Model which is Used to estimate the Quality and the Technical Debt of an application source code. We provide recommendations and guidelines for using the SQALE indicators in order to analyse the structure and the impact of the Technical Debt.},
booktitle = {Proceedings of the Third International Workshop on Managing Technical Debt},
pages = {31–36},
numpages = {6},
keywords = {technical debt, source code, quality model, quality, analysis model, SQALE},
location = {Zurich, Switzerland},
series = {MTD '12}
}","This paper presents the SQALE (Software
Quality Assessment Based on Lifecycle Expectations) method.
We describe its Quality Model and Analysis Model which is
Used to estimate the Quality and the Technical Debt of an
application source code.",SQALE plugin of the Sonar
11,S12,Using Automatic Static Analysis to Identify Technical Debt,"The technical debt (TD) metaphor describes a tradeoff between short-term and long-term goals in software development. Developers, in such situations, accept compromises in one dimension (e.g. maintainability) to meet an urgent demand in another dimension (e.g. delivering a release on time). Since TD produces interests in terms of time spent to correct the code and accomplish quality goals, accumulation of TD in software systems is dangerous becaUse it could lead to more difficult and expensive maintenance. The research presented in this paper is focUsed on the usage of automatic static analysis to identify Technical Debt at code level with respect to different quality dimensions. The methodological approach is that of Empirical Software Engineering and both past and current achieved results are presented, focusing on functionality, efficiency and maintainability.",Use,Antonio Vetrò,Academia,"2,012.00",International Conference on Software Engineering - Doctoral Symposium,Conference,https://doi.org/10.1109/ICSE.2012.6227226,"@inproceedings{Vetro2012,
  doi = {10.1109/icse.2012.6227226},
  url = {https://doi.org/10.1109/icse.2012.6227226},
  year = {2012},
  month = jun,
  publisher = {{IEEE}},
  author = {Antonio Vetro},
  title = {Using automatic static analysis to identify technical debt},
  booktitle = {2012 34th International Conference on Software Engineering ({ICSE})}
}","The research  presented in this paper is focUsed on the usage of automatic
static analysis to identify Technical Debt at code level with
respect to different quality dimensions.","FindBugs
Resharper"
12,S13,"Estimating the Size, Cost, and Types of Technical Debt",This study summarizes results of a study of Technical Debt across 745 business applications comprising 365 million lines of code collected from 160 companies in 10 industry segments. These applications were submitted to a static analysis that evaluates quality within and across application layers that may be coded in different languages. The analysis consists of evaluating the application against a repository of over 1200 rules of good architectural and coding practice. A formula for estimating Technical Debt with adjustable parameters is presented. Results are presented for Technical Debt across the entire sample as well as for different programming languages and quality factors.,Use,"Bill Curtis
Jay Sappidi
Alexandra Szynkarski",Industry,"2,012.00",International Workshop on Managing Technical Debt,Workshop,https://doi.org/10.1109/MTD.2012.6226000,"@inproceedings{Curtis2012,
  doi = {10.1109/mtd.2012.6226000},
  url = {https://doi.org/10.1109/mtd.2012.6226000},
  year = {2012},
  month = jun,
  publisher = {{IEEE}},
  author = {Bill Curtis and Jay Sappidi and Alexandra Szynkarski},
  title = {Estimating the size,  cost,  and types of Technical Debt},
  booktitle = {2012 Third International Workshop on Managing Technical Debt ({MTD})}
}",,CAST
13,S14,"ConcernReCS: Finding Code Smells in Software Aspectization
","Refactoring object-oriented (OO) code to aspects is an error-prone task. To support this task, this paper presents ConcernReCS, an Eclipse plug-in to help developers to avoid recurring mistakes during software aspectization. Based on a map of concerns, ConcernReCS automatically finds and reports error-prone scenarios in OO source code; i.e., before the concerns have been refactored to aspects.",Propose,"Péricles Alves
Diogo Santana
Eduardo Figueiredo",Academia,"2,012.00",International Conference on Software Engineering,Conference,10.1109/ICSE.2012.6227063,"@inproceedings{Alves_2012,
	doi = {10.1109/icse.2012.6227063},
	url = {https://doi.org/10.1109%2Ficse.2012.6227063},
	year = 2012,
	month = {jun},
	publisher = {{IEEE}},
	author = {Pericles Alves and Diogo Santana and Eduardo Figueiredo},
	title = {{ConcernReCS}: Finding code smells in software aspectization},
	booktitle = {2012 34th International Conference on Software Engineering ({ICSE})}
}
",,
14,S15,Assessing technical debt by identifying design flaws in software systems,"Tough time-to-market constraints and unanticipated integration or evolution issues lead to design tradeoffs that usually caUse flaws in the structure of a software system. Thus, maintenance costs grow significantly. The impact of these design decisions, which provide short-term benefits at the expense of the system’s design integrity, is usually referred to as technical debt. In this paper, I Propose a novel framework for assessing technical debt using a technique for detecting design flaws, i.e., specific violations of well-established design principles and rules. To make the framework comprehensive and balanced, it is built on top of a set of metrics-based detection rules for well-known design flaws that cover all of the major aspects of design such as coupling, complexity, and encapsulation. I demonstrate the effectiveness of the framework by assessing the evolution of technical debt symptoms over a total of 63 releases of two popular Eclipse® projects. The case study shows how the framework can detect debt symptoms and past refactoring actions. The experiment also reveals that in the absence of such a framework, restructuring actions are not always coherent and systematic, not even when performed by very experienced developers.",Propose,R. Marinescu,Academia,"2,012.00",IBM Journal of Research and Development,Journal,,"@ARTICLE{6261578,  author={Marinescu, R.},  journal={IBM Journal of Research and Development},   title={Assessing technical debt by identifying design flaws in software systems},   year={2012},  volume={56},  number={5},  pages={9:1-9:13},  doi={10.1147/JRD.2012.2204512}}",,SonarQube
15,S16,"Code Smell Detecting
Tool and Code Smell-Structure Bug Relationship
","This paper Proposes an approach for detecting the so- called bad smells in software known as Code Smell. In considering software bad smells, object-oriented software metrics were Used to detect the source code whereby Eclipse Plugins were developed for detecting in which location of Java source code the bad smell appeared so that software refactoring could then take place. The detected source code was classified into 7 types: Large Class, Long Method, Parallel Inheritance Hierarchy, Long Parameter List, Lazy Class, Switch Statement, and Data Class. This work conducted analysis by using 323 java classes to ascertain the relationship between the code smell and structural defects of software by using the data mining techniques of Naive Bayes and Association Rules. The result of the Naive Bayes test showed that the Lazy Class caUsed structural defects in DLS, DE, and Se. Also, Data Class caUsed structural defects in UwF, DE, and Se, while Long Method, Large Class, Data Class, and Switch Statement caUsed structural defects in UwF and Se. Finally, Parallel Inheritance Hierarchy caUsed structural defects in Se. However, Long Parameter List caUsed no structural defects whatsoever. The results of the Association Rules test found that the Lazy Class code smell caUsed structural defects in DLS and DE, which corresponded to the results of the Naive Bayes test.",Propose,"Phongphan Danphitsanuphan
Thanitta Suwantada 
",Academia,"2,012.00",Spring Congress on Engineering and Technology,Conference,,"@INPROCEEDINGS{6342082,  author={Danphitsanuphan, Phongphan and Suwantada, Thanitta},  booktitle={2012 Spring Congress on Engineering and Technology},   title={Code Smell Detecting Tool and Code Smell-Structure Bug Relationship},   year={2012},  volume={},  number={},  pages={1-5},  doi={10.1109/SCET.2012.6342082}}",,Findbugs
16,S17,Supporting the Identification of Architecturally-Relevant Code Anomalies,"Code anomalies are likely to be critical to the systems' maintainability when they are related to architectural problems. Many tools have been developed to support the identification of code anomalies. However, those tools are restricted to only analyze source code structure and identify individual anomaly occurrences. These limitations are the main reasons why state-of-art tools are often unable to identify architecturally-relevant code anomalies, i.e. those related to architectural problems. To overcome these shortcomings we Propose SCOOP, a tool that includes: (i) architecture-code traces in the analysis of the source code, and (ii) exploits relationships between multiple occurrences of code anomalies to detect the architecturally-relevant ones. Our preliminary evaluation indicated that SCOOP was able to detect anomalous code elements related to 293 out of 368 architectural problems found in 3 software systems.",Propose,,Academia,"2,012.00",International Conference on Software Maintenance,Conference,,"@INPROCEEDINGS{6405348,  author={Macia, Isela and Arcoverde, Roberta and Cirilo, Elder and Garcia, Alessandro and von Staa, Arndt},  booktitle={2012 28th IEEE International Conference on Software Maintenance (ICSM)},   title={Supporting the identification of architecturally-relevant code anomalies},   year={2012},  volume={},  number={},  pages={662-665},  doi={10.1109/ICSM.2012.6405348}}",,scoop
17,S18,"A multiple case study of design pattern decay, grime, and rot in evolving software systems","Software designs decay as systems, Uses, and operational environments evolve. Decay can involve the design patterns Used to structure a system. Classes that participate in design pattern realizations accumulate grime—non-pattern-related code. Design pattern realizations can also rot, when changes break the structural or functional integrity of a design pattern. Design pattern rot can prevent a pattern realization from fulfilling its responsibilities, and thus represents a fault. Grime buildup does not break the structural integrity of a pattern but can reduce system testability and adaptability. This research examined the extent to which software designs actually decay, rot, and accumulate grime by studying the aging of design patterns in three successful object-oriented systems. We generated UML models from the three implementations and employed a multiple case study methodology to analyze the evolution of the designs. We found no evidence of design pattern rot in these systems. However, we found considerable evidence of pattern decay due to grime. Dependencies between design pattern components increased without regard for pattern intent, reducing pattern modularity, and decreasing testability and adaptability. The study of decay and grime showed that the grime that builds up around design patterns is mostly due to increases in coupling.",Use,"Clemente Izurieta
James M. Bieman",Academia,"2,013.00",Software Qual J,Journal,https://doi.org/10.1007/s11219-012-9175-x,"@article{Izurieta2012,
  doi = {10.1007/s11219-012-9175-x},
  url = {https://doi.org/10.1007/s11219-012-9175-x},
  year = {2012},
  month = feb,
  publisher = {Springer Science and Business Media {LLC}},
  volume = {21},
  number = {2},
  pages = {289--323},
  author = {Clemente Izurieta and James M. Bieman},
  title = {A multiple case study of design pattern decay,  grime,  and rot in evolving software systems},
  journal = {Software Quality Journal}
}","This research examined the extent to which software designs actually decay, rot, and accumulate grime by studying the aging of design patterns in three successful object-oriented systems.","JDepends
JavaNCSS"
18,S19,Visualizing and Managing Technical Debt in Agile Development: an Experience Report,"This paper reports the experience of an architecture team of a software development department with 25 agile teams in supporting technical decisions regarding technical practices. The main motivation to Use technical debt metaphor was its acknowledged potential in driving software development and maintenance decisions, especially those long term maintenance tradeoffs which are usually less visible to developers and decision makers in general. We Propose the Use of a ""technical debt board"" with main technical debt categories to manage and visualize the high-level debt, combined with tools to measure it at low-level (software metrics and other kind of static analysis). We have found that our approach improved the teams’ awareness about the technical debt, stimulated a beneficial competition between teams towards the debt payment and enhanced the communication regarding technical decisions.",Propose,"Paulo Sérgio Medeiros dos Santos
Amanda Varella
Cristine Ribeiro Dantas
Daniel Beltrão Borges",Both,"2,013.00",International Conference on Agile Software Development,Conference,https://doi.org/10.1007/978-3-642-38314-4_9,"@incollection{dos_Santos_2013,
	doi = {10.1007/978-3-642-38314-4_9},
	url = {https://doi.org/10.1007%2F978-3-642-38314-4_9},
	year = 2013,
	publisher = {Springer Berlin Heidelberg},
	pages = {121--134},
	author = {Paulo S{\'{e}}rgio Medeiros dos Santos and Amanda Varella and Cristine Ribeiro Dantas and Daniel Beltr{\~{a}}o Borges},
	title = {Visualizing and Managing Technical Debt in Agile Development: An Experience Report},
	booktitle = {Lecture Notes in Business Information Processing}
}","We Propose the Use of a ""technical debt board"" with main technical debt categories
to manage and visualize the high-level debt, combined with tools to measure it
at low-level (software metrics and other kind of static analysis).","SonarQube
PMD
Findbugs
Cobertura
Checkstyle"
19,S20,Comparing four approaches for technical debt identification,"Software systems accumulate technical debt (TD) when short-term goals in software development are traded for long-term goals (e.g., quick-and-dirty implementation to reach a release date versus a well-refactored implementation that supports the long-term health of the project). Some forms of TD accumulate over time in the form of source code that is difficult to work with and exhibits a variety of anomalies. A number of source code analysis techniques and tools have been Proposed to potentially identify the code-level debt accumulated in a system. What has not yet been studied is if using multiple tools to detect TD can lead to benefits, that is, if different tools will flag the same or different source code components. Further, these techniques also lack investigation into the symptoms of TD “interest” that they lead to. To address this latter question, we also investigated whether TD, as identified by the source code analysis techniques, correlates with interest payments in the form of increased defect- and change-proneness. Comparing the results of different TD identification approaches to understand their commonalities and differences and to evaluate their relationship to indicators of future TD “interest.” We selected four different TD identification techniques (code smells, automatic static analysis issues, grime buildup, and Modularity violations) and applied them to 13 versions of the Apache Hadoop open source software project. We collected and aggregated statistical measures to investigate whether the different techniques identified TD indicators in the same or different classes and whether those classes in turn exhibited high interest (in the form of a large number of defects and higher change-proneness). The outputs of the four approaches have very little overlap and are therefore Citeing to different problems in the source code. Dispersed Coupling and Modularity violations were co-located in classes with higher defect-proneness. We also observed a strong relationship between Modularity violations and change-proneness. Our main contribution is an initial overview of the TD landscape, showing that different TD techniques are loosely coupled and therefore indicate problems in different locations of the source code. Moreover, our proxy interest indicators (change- and defect-proneness) correlate with only a small subset of TD indicators.",Compare,"Nico Zazworka
Antonio Vetro
Clemente Izurieta
Sunny Wong
Yuanfang Cai
Carolyn Seaman
Forrest Shull",Academia,"2,013.00",Software Quality Journal,Journal,https://doi.org/10.1007/s11219-013-9200-8,"@article{Zazworka_2013,
	doi = {10.1007/s11219-013-9200-8},
	url = {https://doi.org/10.1007%2Fs11219-013-9200-8},
	year = 2013,
	month = {apr},
	publisher = {Springer Science and Business Media {LLC}},
	volume = {22},
	number = {3},
	pages = {403--426},
	author = {Nico Zazworka and Antonio Vetro' and Clemente Izurieta and Sunny Wong and Yuanfang Cai and Carolyn Seaman and Forrest Shull},
	title = {Comparing four approaches for technical debt identification},
	journal = {Software Quality Journal}
}","To address this latter question, we also investigated whether TD, as identified by the source code analysis techniques, correlates with interest payments in the form of increased defect- and change-proneness. Comparing the results of different TD identification approaches to understand their commonalities and differences and to evaluate their relationship to indicators of future TD ‘‘interest.’’","CLIO
FindBugs
Codevizard"
20,S21,Exploring Software Supply Chains From a Technical Debt Perspective,Software development has evolved from software development organizations building custom solutions for every need and creating a backlog of applications needed by Users to specialized organizations producing components that are supplied to other software development organizations to speed the development of their software products. Our objective is to illustrate how a manager might Use supply chain information to evaluate software being considered for inclusion in a product. We investigated the Eclipse platform code to illustrate analysis methods that produce information of Use to decision makers. The technical debt of the software pieces was measured using the Technical Debt plug-in to Sonar as one input into the evaluation of supply chain quality. The dependency graphs of “Uses” relationships among files were analyzed using graph metrics such as betweenness centrality. There was a statistically significant moderate correlation between the technical debt for a file and the betweenness centrality for that file. This relationship is Used as the basis for a heuristic approach to forming advice to a development manager regarding which assets to acquire.,Use,"J. Yates Monteith
John D. McGregor",Academia,"2,013.00",International Workshop on Managing Technical Debt,Workshop,https://doi.org/10.1109/MTD.2013.6608676,"@inproceedings{Monteith2013,
  doi = {10.1109/mtd.2013.6608676},
  url = {https://doi.org/10.1109/mtd.2013.6608676},
  year = {2013},
  month = may,
  publisher = {{IEEE}},
  author = {J. Yates Monteith and John D. McGregor},
  title = {Exploring software supply chains from a technical debt perspective},
  booktitle = {2013 4th International Workshop on Managing Technical Debt ({MTD})}
}","We investigated the Eclipse platform code to illustrate analysis
methods that produce information of Use to decision makers.
The technical debt of the software pieces was measured using
the Technical Debt plug-in to Sonar as one input into the
evaluation of supply chain quality.","Sonar
Understand
Cytoscape"
21,S22,Generating Precise Dependencies for Large Software,"Intra- and inter-module dependencies can be a significant source of technical debt in the long-term software development, especially for large software with millions of lines of code. This paper designs and implements a precise and scalable tool that extracts code dependencies and their utilization for large C/C++ software projects. The tool extracts both symbol-level and module-level dependencies of a software system and identifies potential underutilized and inconsistent dependencies. Such information Cites to potential refactoring opportunities and help developers perform large-scale refactoring tasks.",Propose,"Pei Wang
Jinqiu Yang
Lin Tan
Robert Kroeger
J. David Morgenthaler",Both,"2,013.00",International Workshop on Managing Technical Debt,Workshop,https://doi.org/10.1109/mtd.2013.6608678,"@inproceedings{Wang2013,
  doi = {10.1109/mtd.2013.6608678},
  url = {https://doi.org/10.1109/mtd.2013.6608678},
  year = {2013},
  month = may,
  publisher = {{IEEE}},
  author = {Pei Wang and Jingiu Yang and Lin Tan and Robert Kroeger and J. David Morgenthaler},
  title = {Generating precise dependencies for large software},
  booktitle = {2013 4th International Workshop on Managing Technical Debt ({MTD})}
}","This paper designs and implements a precise and scalable
tool that extracts code dependencies and their utilization for

large C/C++ software projects.","CodeSurfer
CppDepend"
